instruction,input,output
Terjemahkan ke bahasa Indonesia baku.,De su bahagia akan selalu setia sampe di hari tua,Mereka sudah bahagia akan setia hingga tua
Terjemahkan ke bahasa Indonesia baku.,Ko sei sudah dari pada masalah,Kamu sudah selesai dari semua masalah
Terjemahkan ke bahasa Indonesia baku.,Lebih baik jang ganggu itu sa yang punya,"Jangan ganggu, itu milikku saja"
Terjemahkan ke bahasa Indonesia baku.,Jang jadi pengganggu ko tu cuma benalu,"Jangan jadi pengganggu, kamu hanyalah parasit"
Terjemahkan ke bahasa Indonesia baku.,Ko stop sudah dengan ko pu takalekang,Aku mohon hentikan ikatan palsu itu
Terjemahkan ke bahasa Indonesia baku.,Adakah di sana ko juga merasa,Adakah di sana kamu juga merasakan
Terjemahkan ke bahasa Indonesia baku.,Keluh hati yang meresahkan otak,Keluhan hati yang mengusik pikiran
Terjemahkan ke bahasa Indonesia baku.,Hingga saat ini sa cuma berharap,Hingga sekarang aku hanya berharap
Terjemahkan ke bahasa Indonesia baku.,Berdamai dengan diri sendiri untuk ko,Berdamai dengan diri sendiri demi kamu
Terjemahkan ke bahasa Indonesia baku.,Tra bisa mo putar ulang kembali yang lama,Tidak bisa memutar ulang masa lalu
Terjemahkan ke bahasa Indonesia baku.,Coba waktu itu sa tra lepas ko pu tangan,Coba waktu itu aku tidak melepas tanganmu
Terjemahkan ke bahasa Indonesia baku.,Padahal sa tau sebenarnya ko masih mo tinggal,Sebenarnya aku tahu kamu masih ingin tinggal
Terjemahkan ke bahasa Indonesia baku.,And everytime sa ingat beberapa moment lalu,Dan setiap kali aku ingat beberapa momen lalu
Terjemahkan ke bahasa Indonesia baku.,"Meski bersama waktu su berlalu, yeah","Meskipun bersama waktu sudah berlalu, yeah"
Terjemahkan ke bahasa Indonesia baku.,Ombak teluk pukul bawa kembali rindu,Deburan ombak membawa kembali rasa rindu
Terjemahkan ke bahasa Indonesia baku.,Kalau sa tau begini dari dulu sa tra belok,"Jika aku tahu sebelumnya, aku tidak akan menderita"
Terjemahkan ke bahasa Indonesia baku.,"Andeh, mo bilang tapi sekarang su berbeda",Ingin bilang tapi sekarang semuanya sudah berbeda
Terjemahkan ke bahasa Indonesia baku.,Covid su seles tapi ko bikin terjangkit,Covid sudah selesai tapi kamu membuat luka terjangkit
Terjemahkan ke bahasa Indonesia baku.,Sa minum teh tapi kenapa berasa pahit,"Aku minum teh, tapi terasa getir"
Terjemahkan ke bahasa Indonesia baku.,Cinta sepenggal ini de bikin gila lalala,Cinta sepotong ini membuatku gila lalala
Terjemahkan ke bahasa Indonesia baku.,Tatinggal di pikiran nanti jadi masalah lala,"Tinggal di pikiran, nanti jadi masalah"
Terjemahkan ke bahasa Indonesia baku.,Su tara bisa sa belai,Saya tidak bisa lagi dibelai
Terjemahkan ke bahasa Indonesia baku.,Semua ini hancur hanya karena bakalai,Semua ini hancur hanya karena berkelahi
Terjemahkan ke bahasa Indonesia baku.,"Dan kini sa sesali lepas ko, sa pu love","Dan sekarang aku menyesali melepasmu, padahal aku cinta"
Terjemahkan ke bahasa Indonesia baku.,Ko su di mana? deng sapa? ko ada bikin apa?,Dimana kamu? dengan siapa? kamu sedang apa?
Terjemahkan ke bahasa Indonesia baku.,Sa masih ingat ko pu senyum yang bikin,Aku masih ingat senyummu yang indah itu
Terjemahkan ke bahasa Indonesia baku.,"Sa susah lupa ko, selalu pikir ko","Sulih lupa kamu, aku selalu memikirkan kamu"
Terjemahkan ke bahasa Indonesia baku.,Ko masih sa pu love woo uooo,"Kamu masih aku cintai, woo uooo"
Terjemahkan ke bahasa Indonesia baku.,Ko su tau sa pu hati ini benar-benar cinta,Aku tahu hati ini benar-benar mencintai
Terjemahkan ke bahasa Indonesia baku.,Tapi kenapa ko selalu marah baru mo minta pisah,Tapi kenapa kamu selalu baru minta pisah setelah marah
Terjemahkan ke bahasa Indonesia baku.,Sa jadi dilema deng ko pu keputusan,Aku jadi bimbang dengan keputusanmu
Terjemahkan ke bahasa Indonesia baku.,Apa ko memang tra sayang sa,Apakah kamu memang tidak sayang padaku
Terjemahkan ke bahasa Indonesia baku.,Ya sudah terserah skarang sa su rela,Ya sudah permisi saja sekarang aku rela
Terjemahkan ke bahasa Indonesia baku.,Pergi sudah terserah jang balik deng sa,"Pergi saja terserah, jangan balik dengan aku"
Terjemahkan ke bahasa Indonesia baku.,Mana-mana Tuhan sayang,"Di mana pun, Tuhan tetap sayang"
Terjemahkan ke bahasa Indonesia baku.,"Banyaknya perdebatan, ko selalu sebut pisah","Banyak perdebatan, kamu selalu menyebut pisah"
Terjemahkan ke bahasa Indonesia baku.,Tra bisa bicara yang baik padahal su bilang sa ni sayang ko,Kamu tak bisa bicara baik padahal sudah bilang aku sayang
Terjemahkan ke bahasa Indonesia baku.,Kah ko gila bilang toh ko gila yo gila gila sa,"Katakan kamu gila, biarkan saja, gila gila aku"
Terjemahkan ke bahasa Indonesia baku.,Sa mulai membuat hubungan baik,Tapi aku mulai membaiki hubungan
Terjemahkan ke bahasa Indonesia baku.,Tapi ko buat tong dua jadi bakalai,Tapi kamu buat hubungan kita jadi bubar
Terjemahkan ke bahasa Indonesia baku.,Su sabar tahan hati untuk ko pu kapla batu,Sudah sabar menahan hati terhadap kerasnya hatimu
Terjemahkan ke bahasa Indonesia baku.,Tapi ko masih mo kasi tunjuk ego,Kamu masih mau pamerkan egomu
Terjemahkan ke bahasa Indonesia baku.,Untuk pancing emo setiap hari sa mo mengerti,"Untuk memancing emosiku, padahal aku ingin mengerti"
Terjemahkan ke bahasa Indonesia baku.,Ko tinggal mo marah minta pisah yo,Kamu tinggal ingin marah dan minta pisah ya
Terjemahkan ke bahasa Indonesia baku.,Ya sudah terserah skarang sa su rela,"Ya sudah, sudah terserah sekarang aku rela"
Terjemahkan ke bahasa Indonesia baku.,Pergi sudah terserah jang balik deng sa,"Pergi saja, terserah, jangan balik dengan aku"
Terjemahkan ke bahasa Indonesia baku.,Mana-mana Tuhan sayang,"Di mana pun, Tuhan sayang"
Terjemahkan ke bahasa Indonesia baku.,Amber,"Orang Berada (Pegawai negeri, Karyawan di perusaan), Pendatang"
Terjemahkan ke bahasa Indonesia baku.,Anjonjeng,anjing (sering dipakai sebagai ungkapan kagum)
Terjemahkan ke bahasa Indonesia baku.,Babingung,"Kebingungan / linglung, lambat berpikir"
Terjemahkan ke bahasa Indonesia baku.,Balobe,Mencari ikan pada malam hari tanpa menyelam
Terjemahkan ke bahasa Indonesia baku.,Berger,Gelas bertangkai yang terbuat dari seng atau tembaga
Terjemahkan ke bahasa Indonesia baku.,Bobo,Minuman keras lokal dari pohon bobo / mayang enau
Terjemahkan ke bahasa Indonesia baku.,Bokor,Pinggan besar yg cekung dan bertepi lebar
Terjemahkan ke bahasa Indonesia baku.,Cerek,"Tempat air minum yg bercerat, dibuat dr tembaga, kaleng, dsb."
Terjemahkan ke bahasa Indonesia baku.,Daranya,(ungkapan kaget / heran / kagum)
Terjemahkan ke bahasa Indonesia baku.,Epen,emang penting? (ejekan atau menunjukkan kesan cuek)
Terjemahkan ke bahasa Indonesia baku.,Ko pencu sa pu mata ini demtu sa tertarik,"Mata ini melihatmu, aku tertarik"
Terjemahkan ke bahasa Indonesia baku.,"Sa bentu lihat ko, sa candu macam udik-udik","Saat melihatmu, aku kecanduan seperti anak kampung"
Terjemahkan ke bahasa Indonesia baku.,"Sa bolak-balik, jalan su panik-panik (ey)","Aku bolak-balik, berjalan dengan panik (ey)"
Terjemahkan ke bahasa Indonesia baku.,Ko ada pake-pake kapa,Ada pesona yang membuat terpikat
Terjemahkan ke bahasa Indonesia baku.,Ko pu sempurna bikin sa terlena,Kamu sempurna membuat aku terbuai
Terjemahkan ke bahasa Indonesia baku.,Sampe hati pun bicara kalo bumi sa punya,Hingga hati merasakan bahwa bumi ini milikku
Terjemahkan ke bahasa Indonesia baku.,Sung lah tong dua jadian,Mari kita berdua menjalin hubungan
Terjemahkan ke bahasa Indonesia baku.,"Tra pernah sa terlena, secepat ko karena",Aku tak pernah terpikat secepat kamu
Terjemahkan ke bahasa Indonesia baku.,"Langsung hati ko kas kena, sa pas di Waena",Hati langsung tertembak saat aku di Waena
Terjemahkan ke bahasa Indonesia baku.,Yow dari awal tong berjumpa-jumpa,Sejak awal kita bertemu terus menerus
Terjemahkan ke bahasa Indonesia baku.,Su timbul rasa ini sumpah-sumpah,"Rasa ini muncul, sungguh tulus"
Terjemahkan ke bahasa Indonesia baku.,"Sht, takotak su ta konek sa deng ko","Sht, aku takut tidak terkoneksi sama kamu"
Terjemahkan ke bahasa Indonesia baku.,"Oh sh-t, jang bilang sa tra bisa dengan ko bah","Oh sht, jangan bilang aku tak bisa bersamamu"
Terjemahkan ke bahasa Indonesia baku.,Kas jadi sa deng ko pu cinta baru kokoh,Cinta kita menjadi kuat dan kokoh
Terjemahkan ke bahasa Indonesia baku.,"Bagai penjinak ey, ko ini sapa pu anak","Kamu seperti penjinak hatiku, kamu siapa?"
Terjemahkan ke bahasa Indonesia baku.,Macam dari dulu tra bisa hilang dari benak,Seperti sejak dulu tidak bisa hilang dari pikiranku
Terjemahkan ke bahasa Indonesia baku.,Harus duduk dulu diam sejenak,Haruskah duduk diam sejenak dulu?
Terjemahkan ke bahasa Indonesia baku.,"Yo sa pikir-pikir cara baru, cari de pu slak","Saya berpikir cara baru, cari waktu longgar"
Terjemahkan ke bahasa Indonesia baku.,"Oh sht, pace de pu senyum tu bikin sakit","Oh sht, senyummu itu sakitkan hatiku"
Terjemahkan ke bahasa Indonesia baku.,Bullsht tapi nyatanya sangat menjangkit,"Bullsht, tapi ternyata sangat menular"
Terjemahkan ke bahasa Indonesia baku.,"Tra bisa mo lupa, aduh Tuhan su luka","Tidak bisa lupa, ya Tuhan menyakitkan"
Terjemahkan ke bahasa Indonesia baku.,"Sunglah ya, sa maju tabrak muka","Jadi ayo, aku maju dan hadapi semuanya"
Terjemahkan ke bahasa Indonesia baku.,Ko macam jampe-jampe sa pu hati melepuh,Kamu seperti magis membuat hatiku terbakar
Terjemahkan ke bahasa Indonesia baku.,Dari jauh sa su pantau ko pu body sipetu,Dari jauh aku sudah memperhatikan tubuhmu
Terjemahkan ke bahasa Indonesia baku.,"Sa pikiran kacau-kacau, koi bikin belenggu","Pikiranku kacau, kamu membuat beban"
Terjemahkan ke bahasa Indonesia baku.,"Sa su jupen koi, jadi tolong ko pu nama","Aku sudah jatuh cinta, jadi tolong beri namamu"
Terjemahkan ke bahasa Indonesia baku.,"Ternyata dari doyo, ko manis bikin loyo","Ternyata dari sana, manismu membuatku lemah"
Terjemahkan ke bahasa Indonesia baku.,"Ko kasih luluh hati, sungguh mati sontoloyo","Kamu mencairkan hatiku, sungguh membuat mati rasa"
Terjemahkan ke bahasa Indonesia baku.,"Next time baku dapa, sa coba sapa","Lain kali ketemu, aku coba menyapa"
Terjemahkan ke bahasa Indonesia baku.,Pas baku lewat wa-wa-wa-wa,Saat lalu aku bilang wa-wa-wa-wa
Terjemahkan ke bahasa Indonesia baku.,Tapi sa malu mo kas tau,Tapi aku malu untuk mengatakannya
Terjemahkan ke bahasa Indonesia baku.,Ah de bagus sekali,"Wah, dia sangat cantik sekali"
Terjemahkan ke bahasa Indonesia baku.,Sa mo love de unconditionally,Aku ingin mencintainya tanpa syarat
Terjemahkan ke bahasa Indonesia baku.,Mo bilang de saja susah sekali,Mengatakan itu saja sangat sulit
Terjemahkan ke bahasa Indonesia baku.,Satu Papua de yang pegang kendali,Satu-satunya di Papua yang mengendalikan hatiku
Terjemahkan ke bahasa Indonesia baku.,Kigi indo hanepa mimpuapa dega ngga,Hatiku ini tak bisa berpaling
Terjemahkan ke bahasa Indonesia baku.,Ade yang itu sa kunci,Orang itu adalah kunci hatiku
Terjemahkan ke bahasa Indonesia baku.,Long pela time rasa ini sa tahan,Lama aku tahan perasaan ini
Terjemahkan ke bahasa Indonesia baku.,"So, if you got time kaka mo ajak jalan","Jadi, jika kamu punya waktu ajak aku jalan"
Terjemahkan ke bahasa Indonesia baku.,Sa mo titip fam di kam pu anak perempuan,Aku ingin menitipkan keluarga di wanita sepertimu
Terjemahkan ke bahasa Indonesia baku.,Senandung lagu ini untuk dia,Lagu ini ku nyanyikan untuk dia
Terjemahkan ke bahasa Indonesia baku.,"Cuma khayalan saja, tra papa","Hanya khayalan saja, tak apa"
Terjemahkan ke bahasa Indonesia baku.,Anana dong anana dong su mabo,"Anana dong, anana dong, hanya khayalan"
Terjemahkan ke bahasa Indonesia baku.,Wasa datang rakab do oh oh,"Kalau datang, rasakanlah oh oh"
Terjemahkan ke bahasa Indonesia baku.,Sa mati tanya posisi,Aku mati-matian ingin tahu posisimu
Terjemahkan ke bahasa Indonesia baku.,Say ko di? Tong pi ngopi kah?,Kamu di mana? Mau ngopi bareng?
Terjemahkan ke bahasa Indonesia baku.,Strika jalan licin macam rapika,Jalan yang licin seperti Rapika
Terjemahkan ke bahasa Indonesia baku.,Sa yang ice but you so hot,"Aku dingin, tapi kamu begitu panas"
Terjemahkan ke bahasa Indonesia baku.,Tara boleh stop na na na,Jangan berhenti na na na
Terjemahkan ke bahasa Indonesia baku.,Seperti gambar tra mo say,"Seperti gambar, tak bisa kuhapus"
Terjemahkan ke bahasa Indonesia baku.,Ada ko ada hati yang free,"Ada kamu, ada hati yang bebas"
Terjemahkan ke bahasa Indonesia baku.,"Seperti ilusi, jang harap di mimpi","Seperti ilusi, jangan berharap di mimpi"
Terjemahkan ke bahasa Indonesia baku.,Ey ada kah? ada tu ada di saku tu,Ada kah itu? ada itu di saku
Terjemahkan ke bahasa Indonesia baku.,"Dan tongue fly, tong kas naik, tong badai","Dan kita terbang, naik, badai bersama"
Terjemahkan ke bahasa Indonesia baku.,Dan bila ko terima sama saja,"Jika kamu menerima, itu sama saja"
Terjemahkan ke bahasa Indonesia baku.,"Itu ko bocor, ko salah","Itu membuatmu bocor, kamu salah"
Terjemahkan ke bahasa Indonesia baku.,Lebih baik ko tolak,Jauh lebih baik kamu menolak
Terjemahkan ke bahasa Indonesia baku.,Wey culun stop menghayal,"Woy culun, hentikan mimpi kosong"
Terjemahkan ke bahasa Indonesia baku.,Buanglah barisan mantan pada tempatnya,Keluarkan barisan mantan di tempatnya
Terjemahkan ke bahasa Indonesia baku.,Katanya dia mau perbaiki,Dia bilang dia mau memperbaiki
Terjemahkan ke bahasa Indonesia baku.,"Cuii, ludah saja de pu muka, baru pergi","Eh, ludah di wajahku baru pergi"
Terjemahkan ke bahasa Indonesia baku.,Yang bagus juga bukan de saja,Yang baik itu bukan cuma dia
Terjemahkan ke bahasa Indonesia baku.,Masih ada yang lebih layak,Masih banyak yang lebih pantas
Terjemahkan ke bahasa Indonesia baku.,"Ko jual saja, pasti dong belanja","Jual saja dia, pasti ada yang menampung"
Terjemahkan ke bahasa Indonesia baku.,Tra usah menyesal kalo dia ko tinggalkan,Tak perlu menyesal saat kamu tinggalkan dia
Terjemahkan ke bahasa Indonesia baku.,"Ko tolak saja bah, tra usah pikirkan","Cukup tolak saja, tak perlu dipikirkan"
Terjemahkan ke bahasa Indonesia baku.,Sa su banyak bicara jadi coba dengarkan,"Aku sudah banyak bicara, jadi coba dengarkan"
Terjemahkan ke bahasa Indonesia baku.,"Dan kalau ko tra trima, yeah","Dan jika kamu tidak terima, ya"
Terjemahkan ke bahasa Indonesia baku.,Su cap sa deng nona,Su cap sa deng nona (Aku bertemu nona)
Terjemahkan ke bahasa Indonesia baku.,Deal to gandeng nona,Deal to gandeng nona (Ayo bergandeng tangan nona)
Terjemahkan ke bahasa Indonesia baku.,Sambut jaga cinta,Sambut jaga cinta (Sambut dan pelihara cinta)
Terjemahkan ke bahasa Indonesia baku.,Sa ada ni janji ni sa ada ni,Sa ada ni janji ni sa ada ni (Janji ku ada untukmu)
Terjemahkan ke bahasa Indonesia baku.,Sungla brikan nona,Sungla brikan nona (Sungguh kudedikasikan nona)
Terjemahkan ke bahasa Indonesia baku.,Deal to tasket nona,Deal to tasket nona (Jalani untuk cintamu nona)
Terjemahkan ke bahasa Indonesia baku.,Sa ada ni janji ni anjani,"Sa ada ni janji ni Anjani (Janji ku ada, Anjani)"
Terjemahkan ke bahasa Indonesia baku.,Ko yang tau ko pu rumah,Kamu yang tahu segala di rumahku
Terjemahkan ke bahasa Indonesia baku.,Susah talapas karna cinta ni su paten,Sulit lepas karena cinta ini sudah tetap
Terjemahkan ke bahasa Indonesia baku.,Jang ko ragu ah sayang tu cuma koe,"Jangan ragu, sayang itu hanya kamu"
Terjemahkan ke bahasa Indonesia baku.,Cinta ni sa su jaga buat koi,Cinta ini akan kukawal untukmu
Terjemahkan ke bahasa Indonesia baku.,Stengah mati sa su jaga buat koi,Setengah mati akan kujaga untukmu
Terjemahkan ke bahasa Indonesia baku.,Enak pedis rica padi,Manis seperti rica padi pedas
Terjemahkan ke bahasa Indonesia baku.,Kaka tidak terbebani,Sayangku tidak ingin kamu terbebani
Terjemahkan ke bahasa Indonesia baku.,Jalan-jalan sombong,Mari berkeliling penuh percaya diri
Terjemahkan ke bahasa Indonesia baku.,Su tagepe-gepe ade nona sudah gepe,Kita sudah tertaut hati meski dia belum sadar
Terjemahkan ke bahasa Indonesia baku.,Jadi kalau hambak nanti jadi lepe-lepe,Jadi jika aku mendekat nanti kaukan goyah
Terjemahkan ke bahasa Indonesia baku.,Kaka tidak mampu uwow uwo,"Kau tidak mampu, uwow uwo"
Terjemahkan ke bahasa Indonesia baku.,Apalagi buang muka kaka gelisah,"Bahkan saat kamu membuang muka, aku gelisah"
Terjemahkan ke bahasa Indonesia baku.,Anjani Anjani bagaimana ini oh,"Anjani, Anjani, bagaimana ini oh?"
Terjemahkan ke bahasa Indonesia baku.,Anjani Anjani kaka sayang sekali,"Anjani, Anjani, aku sangat mencintaimu"
Terjemahkan ke bahasa Indonesia baku.,Hambak dempet to rasa feeling pas,Aku mendekat tepat saat perasaannya pas
Terjemahkan ke bahasa Indonesia baku.,Ko juga mo mepet-mepet sempat ko tra mo lepas,"Kamu pun mendekat, sempat aku tak ingin lepas"
Terjemahkan ke bahasa Indonesia baku.,Ko stel kaka macam remot,Kau atur hatiku seperti remot
Terjemahkan ke bahasa Indonesia baku.,Anjani Anjani ko saja yang temani,"Anjani, hanya kamu yang menemani"
Terjemahkan ke bahasa Indonesia baku.,Temani ladeni macam deng laki bini,Melayani seperti pasangan yang mesra
Terjemahkan ke bahasa Indonesia baku.,Ko ambil jantung lapis deng hati ini,Kau kuambil hati lapis ini
Terjemahkan ke bahasa Indonesia baku.,Mo kas tinggal sa rasa tra berani,"Ingin tinggal, aku rasa tak berani"
Terjemahkan ke bahasa Indonesia baku.,Bukan angkat dagu bukan pula asal lagu,"Bukan angkah dagu, juga bukan lagu asal-asalan"
Terjemahkan ke bahasa Indonesia baku.,Cin no limit trada pagu,Cinta tanpa batas tiada akhir
Terjemahkan ke bahasa Indonesia baku.,Standby di ko love macam Stark punya Jarvis,Tetap menunggu cintamu seperti Jarvis untuk Stark
Terjemahkan ke bahasa Indonesia baku.,Hingga sulit dipisahkan macam rap dengan rhyme,Sulit dipisahkan seperti rap dan rhyme
Terjemahkan ke bahasa Indonesia baku.,Ko tra mau sa tapi ko datang,"Kamu tidak mau, tapi kamu datang"
Terjemahkan ke bahasa Indonesia baku.,Sa mau ko tapi de yang ko sayang,"Aku mau kamu, tapi dia yang kamu sayang"
Terjemahkan ke bahasa Indonesia baku.,Sa yang temani pagi dan malam,Aku yang menemanimu pagi dan malam
Terjemahkan ke bahasa Indonesia baku.,Karna sa bingung apa yang harus sa buat,Karena aku bingung apa yang harus kubuat
Terjemahkan ke bahasa Indonesia baku.,Dengar ko pung komitmen jujur sa tra kuat,"Dengar komitmenmu, aku tidak kuat"
Terjemahkan ke bahasa Indonesia baku.,Percuma dengan cinta yang hanya tersirat,Sia-sia mencinta jika hanya tersirat
Terjemahkan ke bahasa Indonesia baku.,Sa tahan sa pung rasa dengan kaca sa pung mata,Aku tahan rasa ini dengan kaca dan mataku
Terjemahkan ke bahasa Indonesia baku.,Dengar yang ko bilang ko ko pigi adoh,"Dengar yang kamu bilang, kamu pergi jauh"
Terjemahkan ke bahasa Indonesia baku.,Tapi jang ko lupa tong pung kisah dolo,Tapi jangan lupa cerita kita dulu
Terjemahkan ke bahasa Indonesia baku.,Ketika lelah ko minta sa yang polo,"Saat kamu lelah, kamu minta aku yang menemani"
Terjemahkan ke bahasa Indonesia baku.,Jika yang terbaik yang sa kasih belum cukup,Jika yang terbaik yang aku beri belum cukup
Terjemahkan ke bahasa Indonesia baku.,Sio sa terima jika pisah deng ko,Jadi aku terima jika berpisah denganmu
Terjemahkan ke bahasa Indonesia baku.,Memang tra sempurna sa beri untuk ko,Memang aku tak sempurna memberikan ini untukmu
Terjemahkan ke bahasa Indonesia baku.,Yang terbaik sa cuma punya ini,Aku hanya bisa berikan yang terbaik ini
Terjemahkan ke bahasa Indonesia baku.,Su bukan ko lagi yang genggam sa tangan,Aku bukan lagi orang yang menggenggam tanganmu
Terjemahkan ke bahasa Indonesia baku.,Su bukan ko lagi yang panggil sa sayang,Aku bukan lagi yang memanggilmu sayang
Terjemahkan ke bahasa Indonesia baku.,"Skarang su tra bisa, su tara bersama","Sekarang aku tidak bisa, kita tidak bersama"
Terjemahkan ke bahasa Indonesia baku.,Dan coba lupa kisah... meski berat untuk ko,Coba lupakan cerita meski berat untukmu
Terjemahkan ke bahasa Indonesia baku.,"Ko ikhlas demi cinta, agar sa bisa bahagia",Kamu ikhlas demi cinta agar aku bisa bahagia
Terjemahkan ke bahasa Indonesia baku.,Su bukan sa lagi yang genggam ko tangan,Sekarang aku bukan lagi yang menggenggam tanganmu
Terjemahkan ke bahasa Indonesia baku.,Dan coba lupa kisah... meski berat untuk sa,Coba lupakan cerita meski berat untukku
Terjemahkan ke bahasa Indonesia baku.,"Sa ikhlas demi cinta, agar ko bisa bahagia",Aku ikhlas demi cinta agar kamu bisa bahagia
Terjemahkan ke bahasa Indonesia baku.,Sekian sa liat demikian ko buat,Setter lihat apa yang kamu lakukan
Terjemahkan ke bahasa Indonesia baku.,Harapan tra lagi ko ada disamping,Harapan itu tidak lagi kamu di sampingku
Terjemahkan ke bahasa Indonesia baku.,Lalui kapan tanpa kepastian,Kita lewati kapan tanpa kepastian
Terjemahkan ke bahasa Indonesia baku.,Dan biarkan sa simpan dan biarkan sa simpan dan biarkan sa simpan,Aku biarkan saja aku menyimpan
Terjemahkan ke bahasa Indonesia baku.,Walau sakit semakin sa rasakan,Meski semakin aku merasakan sakit
Terjemahkan ke bahasa Indonesia baku.,Walau terasa pahit akan coba sa lalui,"Meskipun terasa pahit, aku akan coba lalui"
Terjemahkan ke bahasa Indonesia baku.,Dulu ko paksa ko bilang setia,Dulu kamu paksa bilang setia
Terjemahkan ke bahasa Indonesia baku.,Tapi sekarang ko pigi deng dia,Tapi sekarang kamu pergi dengan dia
Terjemahkan ke bahasa Indonesia baku.,Sa deng cerita harus usai kah?,"Aku dengar cerita, haruskah selesai?"
Terjemahkan ke bahasa Indonesia baku.,Dan cinta ini ko su ingkar,Dan cinta ini kamu khianati
Terjemahkan ke bahasa Indonesia baku.,Abaikan perasaan yang tra bisa dekap,Abaikan perasaan yang tak bisa kau peluk
Terjemahkan ke bahasa Indonesia baku.,Sa paksakan sayang tapi tra lengkap,Aku paksakan sayang tapi tidak utuh
Terjemahkan ke bahasa Indonesia baku.,Coba hilangkan semua rasa... ko berpaling su tara sama,"Coba hilangkan semua rasa kamu berpaling, aku tiada sama"
Terjemahkan ke bahasa Indonesia baku.,Hanya bisa ingat tong pu kisah... jika lupa koi sa tra kuasa,Hanya bisa ingat cerita kita jika lupa aku tak mampu
Terjemahkan ke bahasa Indonesia baku.,Cinta yang sa tuai kini telah usai,Cinta yang kutanam kini telah usai
Terjemahkan ke bahasa Indonesia baku.,Nothing baby ko yang memilih,"Tidak apa-apa, sayang, kamu yang memilih"
Terjemahkan ke bahasa Indonesia baku.,Walau bertahan su tara bisa,"Meskipun bertahan, aku tak bisa"
Terjemahkan ke bahasa Indonesia baku.,Hanya ada kata pisah di antara ko deng sa,Hanya ada kata pisah antara kamu dan aku
Terjemahkan ke bahasa Indonesia baku.,Su tra bisa lagi bersama,Aku tidak bisa lagi bersama
Terjemahkan ke bahasa Indonesia baku.,Karena memang bukan sekarang sa yang miliki,Karena memang sekarang aku bukan yang kamu miliki
Terjemahkan ke bahasa Indonesia baku.,Biar sa terima meski sa yang tersakiti,Biar aku terima meski aku yang terluka
Terjemahkan ke bahasa Indonesia baku.,Ko su bukan lagi sa rela ko pergi,Kamu bukan lagi milikku aku rela kamu pergi
Terjemahkan ke bahasa Indonesia baku.,"Danke, su pernah ada untuk sa","Terima kasih, kamu pernah ada untukku"
Terjemahkan ke bahasa Indonesia baku.,Su tra lagi tong baku sapa,Lambat laun kita tak lagi saling menyapa
Terjemahkan ke bahasa Indonesia baku.,Kan su ada dia dan harus sa relakan,Kau sudah dengannya dan aku harus merelakannya
Terjemahkan ke bahasa Indonesia baku.,Cukup sa saja ko kas luka,Biarkan hanya aku yang luka
Terjemahkan ke bahasa Indonesia baku.,Sa hargai yang ko su pernah kasih,Saya hargai apa yang pernah kamu kasih
Terjemahkan ke bahasa Indonesia baku.,Serumit apapun yang tong jalanin,Serumit apapun yang kita jalani bersama
Terjemahkan ke bahasa Indonesia baku.,Cinta bahkan harap akan hati,Cinta bahkan harapan dalam hati
Terjemahkan ke bahasa Indonesia baku.,Dan karna sa trus gelisah tanpa koi,Dan karena aku terus gelis tanpa kehadiranmu
Terjemahkan ke bahasa Indonesia baku.,Kejar sementara kalau berafiliasi butuh gaji,Berlomba saat hubungan butuh nafkah
Terjemahkan ke bahasa Indonesia baku.,Harap sa akan baik dibalik jutaan cinta yang naik,Harap aku akan baik di balik cinta yang tumbuh besar
Terjemahkan ke bahasa Indonesia baku.,Bila terpisah tra bakalai,"Jika terpisah, takkan terjadi kesalahan"
Terjemahkan ke bahasa Indonesia baku.,Pasti sa curhat lagi depan mic,Pasti aku curhat lagi di depan mic
Terjemahkan ke bahasa Indonesia baku.,Kini impian buntu yang ko taru paksa sa jauh,"Sekarang impian buntu, kamu memaksa aku menjauh"
Terjemahkan ke bahasa Indonesia baku.,Tra biskah ko dengar dulu,Tidak bisakah kamu dengar dulu?
Terjemahkan ke bahasa Indonesia baku.,Cinta sa kasih bukan separuh,Cinta yang aku kasih bukan setengah hati
Terjemahkan ke bahasa Indonesia baku.,Lama sa jaga temani tenang,"Sejak lama aku menjaga, menemani dalam tenang"
Terjemahkan ke bahasa Indonesia baku.,Pergi kalau buat koi senang,Pergilah jika itu membuatmu bahagia
Terjemahkan ke bahasa Indonesia baku.,Dan sa akan berjanji sempatkan waktu sa berdoa,Dan aku berjanji akan luangkan waktu untuk berdoa
Terjemahkan ke bahasa Indonesia baku.,Ketika dalam bayang sepi cinta hadir tra anti pula,"Saat kesepian muncul, cinta hadir tanpa anti"
Terjemahkan ke bahasa Indonesia baku.,Hati yang gres yang dapat tong ganti,Hati yang baru tidak bisa tergantikan
Terjemahkan ke bahasa Indonesia baku.,Lengkapi hari dalam suka dan letih,Melengkapi hari-hari dalam suka dan lelah
Terjemahkan ke bahasa Indonesia baku.,Dan sa harap sayang coba ko dengar,"Dan aku berharap, sayang, coba kamu dengar"
Terjemahkan ke bahasa Indonesia baku.,Ko anugrah terindah ko paling sa gemar,Kamu adalah anugerah terindah yang paling aku sayang
Terjemahkan ke bahasa Indonesia baku.,Sa masih rindu ko polo,Aku masih rindu kamu kembali
Terjemahkan ke bahasa Indonesia baku.,Temani sa tidur sono,Temani aku tidur di sana
