instruction,input,output
Terjemahkan ke bahasa Indonesia baku.,Maskawin tong su atur langsung tong menuju,"Mas kawinnya sudah diatur, kita siap menuju"
Terjemahkan ke bahasa Indonesia baku.,Dorang masak sayur,Mereka memasak sayur
Terjemahkan ke bahasa Indonesia baku.,Sa pu hati ko su klem,Hatiku sudah kamu miliki
Terjemahkan ke bahasa Indonesia baku.,Yeah lala lala lal...,Yeah kalau memang begitu...
Terjemahkan ke bahasa Indonesia baku.,Su cap sa deng nona,Su cap sa deng nona (Aku bertemu nona)
Terjemahkan ke bahasa Indonesia baku.,Senandung lagu ini untuk dia,Lagu ini ku nyanyikan untuk dia
Terjemahkan ke bahasa Indonesia baku.,Dil to tasket nona,Genggam erat nona
Terjemahkan ke bahasa Indonesia baku.,Ko su mendengar musik?,Apakah kamu mendengar musik?
Terjemahkan ke bahasa Indonesia baku.,Sa terharu,Saya terharu
Terjemahkan ke bahasa Indonesia baku.,Danggir fafayafa,enak sekali
Terjemahkan ke bahasa Indonesia baku.,Sa dengar jelas,Saya mendengar dengan jelas
Terjemahkan ke bahasa Indonesia baku.,Jang lama-lama,Jangan terlalu lama
Terjemahkan ke bahasa Indonesia baku.,Cukimai,"bersetubuh dengan ibu (mama), kata makian."
Terjemahkan ke bahasa Indonesia baku.,Bila real tong dua kete,Jika sungguh serius untuk kita bertemu
Terjemahkan ke bahasa Indonesia baku.,Pogapa ea puangga,Rasanya cinta yang besar
Terjemahkan ke bahasa Indonesia baku.,Ko ada dalam circle kau ada di lingkaranku,nan
Terjemahkan ke bahasa Indonesia baku.,Ko hapus kenangan dari ko pu ingatan,Hapus kenangan dari ingatanmu
Terjemahkan ke bahasa Indonesia baku.,Ko pu laki kelakuan itu toki-toki,Kelakuan pacarmu itu macam-macam
Terjemahkan ke bahasa Indonesia baku.,Sudah lah sa mo lanjut siram,"Sudah, saya lanjut saja"
Terjemahkan ke bahasa Indonesia baku.,Jalan-jalan sombong,Mari berkeliling penuh percaya diri
Terjemahkan ke bahasa Indonesia baku.,Ko su mendengar berita?,Apakah kamu mendengar berita?
Terjemahkan ke bahasa Indonesia baku.,"Sht, takotak su ta konek sa deng ko","Sht, aku takut tidak terkoneksi sama kamu"
Terjemahkan ke bahasa Indonesia baku.,Su tagepe-gepe ade nona sudah gepe,Kita sudah tertaut hati meski dia belum sadar
Terjemahkan ke bahasa Indonesia baku.,Ko tra usah kuatir kah?,Kamu tidak usah khawatir?
Terjemahkan ke bahasa Indonesia baku.,Deal to gandeng nona,Deal to gandeng nona (Ayo bergandeng tangan nona)
Terjemahkan ke bahasa Indonesia baku.,Ko sangat pintar bagi ko pu waktu (Ko sangat pintar),Kamu sangat pintar membagi waktumu (kamu sangat pintar)
Terjemahkan ke bahasa Indonesia baku.,Ko pergi kerja?,Apakah kamu pergi bekerja?
Terjemahkan ke bahasa Indonesia baku.,Bee,halo
Terjemahkan ke bahasa Indonesia baku.,Hoama usua,Ke arah manapun
Terjemahkan ke bahasa Indonesia baku.,Bangkret,Bangsat (makian)
Terjemahkan ke bahasa Indonesia baku.,Su bukan baru,Ini bukan hal baru lagi
Terjemahkan ke bahasa Indonesia baku.,Yani teta buai yona,(Tidak dapat diterjemahkan dialek/arti tidak jelas)
Terjemahkan ke bahasa Indonesia baku.,Dan salahnya sa tu pikir sa nomor satu,Dan salahnya aku kira aku yang nomor satu
Terjemahkan ke bahasa Indonesia baku.,Trada minyak goreng di dapur,Tidak ada minyak goreng di dapur
Terjemahkan ke bahasa Indonesia baku.,Sambut jaga cinta,Sambut jaga cinta (Sambut dan pelihara cinta)
Terjemahkan ke bahasa Indonesia baku.,Tong ke pasar pagi,Kami pergi ke pasar pagi
Terjemahkan ke bahasa Indonesia baku.,Ko pu cara itu keren,Cara kamu itu keren (sindiran)
Terjemahkan ke bahasa Indonesia baku.,Ko pu muka disini tapi hati disana,Wajahmu di sini tapi hatimu di sana
Terjemahkan ke bahasa Indonesia baku.,Ko pu manis itu sungguh menawan,Manismu sungguh memikat
Terjemahkan ke bahasa Indonesia baku.,(Ulang Reff) Sa mau koi ko mau dia,"Aku mau kamu, tapi kamu mau dia"
Terjemahkan ke bahasa Indonesia baku.,Sa ikut ko pu mau,Saya ikuti keinginanmu
Terjemahkan ke bahasa Indonesia baku.,Sa dengar tadi,Saya mendengar tadi
Terjemahkan ke bahasa Indonesia baku.,Tong ke kampus sore,Kami pergi ke kampus sore
Terjemahkan ke bahasa Indonesia baku.,Apalagi perhatian,Terutama perhatian
Terjemahkan ke bahasa Indonesia baku.,Ragu ragu marba sayang,Ragu-ragu membahas sayang
Terjemahkan ke bahasa Indonesia baku.,Ko pikir lagi,Pikirkan lagi
Terjemahkan ke bahasa Indonesia baku.,Dorang ke kantor sore,Mereka pergi ke kantor sore
Terjemahkan ke bahasa Indonesia baku.,Trada roti di dapur tong,Tidak ada roti di dapur kami
Terjemahkan ke bahasa Indonesia baku.,Sa masih mau koi dampingi,Aku masih ingin mendampingi kamu
Terjemahkan ke bahasa Indonesia baku.,Trada sayur di dapur,Tidak ada sayur di dapur
Terjemahkan ke bahasa Indonesia baku.,"Sa kawan, kasihan...","Aku temanmu, kasihan..."
Terjemahkan ke bahasa Indonesia baku.,Bilolo,Siput laut
Terjemahkan ke bahasa Indonesia baku.,Sa yang su kopeng harga diri lapis belis,Aku yang pegang harga diri berlapis-lapis
Terjemahkan ke bahasa Indonesia baku.,Ko masih sa pu love uwo uwo,Kamu masih cintaku
Terjemahkan ke bahasa Indonesia baku.,Ko datang cepat,Datanglah cepat
Terjemahkan ke bahasa Indonesia baku.,Sa su mimpi jauh-jauh,Saya sudah bermimpi jauh dari sini
Terjemahkan ke bahasa Indonesia baku.,Cin no limit trada pagu,Cinta tanpa batas tiada akhir
Terjemahkan ke bahasa Indonesia baku.,Sa su losten koe,Jangan ragu lagi
Terjemahkan ke bahasa Indonesia baku.,Move fast deng anana,Bergerak cepat dengan khayalan
Terjemahkan ke bahasa Indonesia baku.,Sa dengar dari teman,Saya mendengar dari teman
Terjemahkan ke bahasa Indonesia baku.,"Sa pu nyanyian, sa hibur saudara semua","Saya berbagi nyanyian, menghibur keluarga semua"
Terjemahkan ke bahasa Indonesia baku.,Ko satu kali,Kamu satu kali
Terjemahkan ke bahasa Indonesia baku.,Bapa,Bapak / Ayah
Terjemahkan ke bahasa Indonesia baku.,Sa tra habis pikir dengan dia le.,Saya tidak habis pikir dengan dia lo
Terjemahkan ke bahasa Indonesia baku.,Nona pu manja-manja nona pu sifat bajaga,Nona manja-nya nona berhati-hati
Terjemahkan ke bahasa Indonesia baku.,Sa bertemu teman,Saya bertemu teman
