instruction,source,target
Terjemahkan ke bahasa Indonesia baku.,Ko su ke mall tong?,Apakah kamu ke mall kami?
Terjemahkan ke bahasa Indonesia baku.,sio sa rindu sekali,oh aku sangat merindukanmu
Terjemahkan ke bahasa Indonesia baku.,Toki ditempat acara,Pukul musik di tempat acara
Terjemahkan ke bahasa Indonesia baku.,Tapi ko sang pionir,Tapi kamu yang paling utama
Terjemahkan ke bahasa Indonesia baku.,Nanti sa masuk kali,Nanti aku bisa kena masalah
Terjemahkan ke bahasa Indonesia baku.,Dong su datang kah?,Apakah mereka sudah datang??
Terjemahkan ke bahasa Indonesia baku.,Lebih baik ko tolak,Jauh lebih baik kamu menolak
Terjemahkan ke bahasa Indonesia baku.,Sa bantu kalau bisa,Saya akan membantu jika bisa
Terjemahkan ke bahasa Indonesia baku.,Ko su dengar musik?,Apakah kamu mendengar musik?
Terjemahkan ke bahasa Indonesia baku.,Ko su dengar radio?,Apakah kamu mendengar radio?
Terjemahkan ke bahasa Indonesia baku.,Ko su bicara keras?,Apakah kamu berbicara keras?
Terjemahkan ke bahasa Indonesia baku.,Ko mau jalan-jalan?,Apakah kamu ingin jalan-jalan?
Terjemahkan ke bahasa Indonesia baku.,Dasar setan alas ko,"Dasar kamu itu jahat, alasanku?"
Terjemahkan ke bahasa Indonesia baku.,Kasihan kasihan koi,"Kasihan, sungguh kasihan kalian"
Terjemahkan ke bahasa Indonesia baku.,Jadi sa pergi acara,Jadi saya pergi menghadiri acara
Terjemahkan ke bahasa Indonesia baku.,Ko mulut manis Meri,Kamu punya mulut yang manis Meri
Terjemahkan ke bahasa Indonesia baku.,Sa ke mall sama kam,Saya pergi ke mall bersama mereka
Terjemahkan ke bahasa Indonesia baku.,Ko su chatting kam?,Apakah kamu chatting dengan mereka?
Terjemahkan ke bahasa Indonesia baku.,Mau jalan c'rita sa,Tapi masih mau ceritakan tentang aku
Terjemahkan ke bahasa Indonesia baku.,Sibuk de punya diri,Kamu terlalu sibuk dengan diri sendiri
Terjemahkan ke bahasa Indonesia baku.,Su cap sa deng nona,Su cap sa deng nona (Aku bertemu nona)
Terjemahkan ke bahasa Indonesia baku.,Deal to tasket nona,Deal to tasket nona (Jalani untuk cintamu nona)
Terjemahkan ke bahasa Indonesia baku.,Yani teta buai yona,(Tidak dapat diterjemahkan dialek/arti tidak jelas)
Terjemahkan ke bahasa Indonesia baku.,Ko pung nama sapa? e,Siapa namamu? ya
Terjemahkan ke bahasa Indonesia baku.,Sa pung kepala sakit,Kepala saya sakit
Terjemahkan ke bahasa Indonesia baku.,Berlalu dengan tekad,Pergi dengan tekad
Terjemahkan ke bahasa Indonesia baku.,Sa tra suka itu kah?,Saya tidak suka itu?
Terjemahkan ke bahasa Indonesia baku.,Ada something kapa e,"Ada sesuatu, apa itu?"
Terjemahkan ke bahasa Indonesia baku.,Mari jalan deng Yale,Ayo jalan bareng Yale
Terjemahkan ke bahasa Indonesia baku.,Please we jang tahan,Tolong jangan ditahan
Terjemahkan ke bahasa Indonesia baku.,Tiap hari cuma mabok,Tiap hari hanya mabuk
Terjemahkan ke bahasa Indonesia baku.,Ko dapat gaji berapa,Kau dapat gaji berapa
Terjemahkan ke bahasa Indonesia baku.,Sekarang sa menyerah,Sekarang aku menyerah
Terjemahkan ke bahasa Indonesia baku.,Dia tra ada di rumah,Dia tidak ada di rumah
Terjemahkan ke bahasa Indonesia baku.,Sa tinggal di Sorong,Saya tinggal di Sorong
Terjemahkan ke bahasa Indonesia baku.,Betadine deng varban,Betadine dengan perban
Terjemahkan ke bahasa Indonesia baku.,Jadi ko cari minuman,Jadi kamu cari minuman
Terjemahkan ke bahasa Indonesia baku.,Bilang sa bilang oke,Ukapkan aku bilang oke
Terjemahkan ke bahasa Indonesia baku.,dar malam sampe pagi,dari malam sampai pagi
Terjemahkan ke bahasa Indonesia baku.,Tiap hari baku marah,Setiap hari bertengkar
Terjemahkan ke bahasa Indonesia baku.,Sa menunggu sebentar,Saya menunggu sebentar
Terjemahkan ke bahasa Indonesia baku.,Sa minum susu hangat,Saya minum susu hangat
Terjemahkan ke bahasa Indonesia baku.,Sembunyi di belakang,Bersembunyi di belakang
Terjemahkan ke bahasa Indonesia baku.,Waktu pertama kenali,Lihat kamu pertama kali
Terjemahkan ke bahasa Indonesia baku.,Walaupun sa deng dia,Meskipun aku bersamanya
Terjemahkan ke bahasa Indonesia baku.,sayang kasih enak ya,sayang kasihnya enak ya
Terjemahkan ke bahasa Indonesia baku.,"Sa kawan, kasihan...","Aku temanmu, kasihan..."
Terjemahkan ke bahasa Indonesia baku.,Kam minum teh hangat,Mereka minum teh hangat
Terjemahkan ke bahasa Indonesia baku.,Kam minum kopi pahit,Mereka minum kopi pahit
Terjemahkan ke bahasa Indonesia baku.,Kam belajar IPA sore,Mereka belajar IPA sore
Terjemahkan ke bahasa Indonesia baku.,Dia su makan siang e,Dia sudah makan siang ya
Terjemahkan ke bahasa Indonesia baku.,Tutupi deng senyuman,Menutupi dengan senyuman
Terjemahkan ke bahasa Indonesia baku.,Ko libatkan perasaan,Kamu melibatkan perasaan
Terjemahkan ke bahasa Indonesia baku.,Temani sa tidur sono,Temani aku tidur di sana
Terjemahkan ke bahasa Indonesia baku.,Yang penting ko tmni,Yang penting kamu temani
Terjemahkan ke bahasa Indonesia baku.,Skarang juga su 2021,Sekarang juga sudah 2021
Terjemahkan ke bahasa Indonesia baku.,Sa mau tetap di sini,Saya ingin tetap di sini
Terjemahkan ke bahasa Indonesia baku.,Sa masak nasi goreng,Saya memasak nasi goreng
Terjemahkan ke bahasa Indonesia baku.,Ko su nonton TV bel?,Apakah kamu menonton TV?
Terjemahkan ke bahasa Indonesia baku.,Trada temen di rumah,Tidak ada teman di rumah
Terjemahkan ke bahasa Indonesia baku.,Trada telur di dapur,Tidak ada telur di dapur
Terjemahkan ke bahasa Indonesia baku.,Trada sayur di dapur,Tidak ada sayur di dapur
Terjemahkan ke bahasa Indonesia baku.,Sembunyi baku dapa e,Bersembunyi untuk bertemu
Terjemahkan ke bahasa Indonesia baku.,Ini su tra bisa lagi,Ini sudah tidak bisa lagi
Terjemahkan ke bahasa Indonesia baku.,Permisi beb sa pergi,"Permisi sayang, aku pergi"
Terjemahkan ke bahasa Indonesia baku.,Sa dengar radio pagi,Saya mendengar radio pagi
Terjemahkan ke bahasa Indonesia baku.,Sa dengar dari teman,Saya mendengar dari teman
Terjemahkan ke bahasa Indonesia baku.,Sa dengar tapi pelan,Saya mendengar tapi pelan
Terjemahkan ke bahasa Indonesia baku.,Sama-sama jaga cinta,Kita bersama menjaga cinta
Terjemahkan ke bahasa Indonesia baku.,Ko su menonton film?,Apakah kamu menonton film?
Terjemahkan ke bahasa Indonesia baku.,Ko su membaca koran?,Apakah kamu membaca koran?
Terjemahkan ke bahasa Indonesia baku.,Ko su bertemu teman?,Apakah kamu bertemu teman?
Terjemahkan ke bahasa Indonesia baku.,Ko su menulis surat?,Apakah kamu menulis surat?
Terjemahkan ke bahasa Indonesia baku.,Ko su membaca novel?,Apakah kamu membaca novel?
Terjemahkan ke bahasa Indonesia baku.,Ko su membeli sayur?,Apakah kamu membeli sayur?
Terjemahkan ke bahasa Indonesia baku.,Kam main game online,Mereka bermain game online
Terjemahkan ke bahasa Indonesia baku.,Tong ke sekolah sore,Kami pergi ke sekolah sore
Terjemahkan ke bahasa Indonesia baku.,Kam beli sayur hijau,Mereka membeli sayur hijau
Terjemahkan ke bahasa Indonesia baku.,Ko tra usah kuatir e,Kamu tidak usah khawatir ya
Terjemahkan ke bahasa Indonesia baku.,Baru ko pilih lain..,Lalu kau memilih yang lain..
Terjemahkan ke bahasa Indonesia baku.,Ni su mulai ada rasa,Aku sudah mulai ada perasaan
Terjemahkan ke bahasa Indonesia baku.,Enak pedis rica padi,Manis seperti rica padi pedas
Terjemahkan ke bahasa Indonesia baku.,Ko pigi sekolah kah?,Apakah kamu pergi ke sekolah?
Terjemahkan ke bahasa Indonesia baku.,Ko su dengar berita?,Apakah kamu mendengar berita?
Terjemahkan ke bahasa Indonesia baku.,Ko mau ikut bermain?,Apakah kamu mau ikut bermain?
Terjemahkan ke bahasa Indonesia baku.,Ko pu cara itu keren,Cara kamu itu keren (sindiran)
Terjemahkan ke bahasa Indonesia baku.,Move fast deng anana,Bergerak cepat dengan khayalan
Terjemahkan ke bahasa Indonesia baku.,Jangan bocor ka dara,"Jangan asal ngomong, hati-hati"
Terjemahkan ke bahasa Indonesia baku.,Tarada hubungan juga,Padahal tidak ada hubungan juga
Terjemahkan ke bahasa Indonesia baku.,Nyaman ka sa pu sorr,Nyaman sekali dekat dengan saya
Terjemahkan ke bahasa Indonesia baku.,Sa ke mall sama tong,Saya pergi ke mall bersama kami
Terjemahkan ke bahasa Indonesia baku.,Sa mau di rumah saja,Saya ingin tinggal di rumah saja
Terjemahkan ke bahasa Indonesia baku.,Ko su chatting tong?,Apakah kamu chatting dengan kami?
Terjemahkan ke bahasa Indonesia baku.,Tong baru baku dapat,Hubungan yang baru saja kita mulai
Terjemahkan ke bahasa Indonesia baku.,Ko tra dengar suara?,Apakah kamu tidak mendengar suara?
Terjemahkan ke bahasa Indonesia baku.,Trada hujan trada oh,"Tidak ada hujan, tidak ada halangan"
Terjemahkan ke bahasa Indonesia baku.,Sa mati tanya posisi,Aku mati-matian ingin tahu posisimu
Terjemahkan ke bahasa Indonesia baku.,Deal to gandeng nona,Deal to gandeng nona (Ayo bergandeng tangan nona)
Terjemahkan ke bahasa Indonesia baku.,Beta baru pulang kah?,Saya baru pulang?
Terjemahkan ke bahasa Indonesia baku.,Saat menatap rembulan,Saat menatap bulan
Terjemahkan ke bahasa Indonesia baku.,Tulang ni lombo-lombo,Tulang ini gemetar
Terjemahkan ke bahasa Indonesia baku.,Ko jangan tipu-tipu e,Jangan berbohong ya
Terjemahkan ke bahasa Indonesia baku.,Sa kasih tahu ko kah?,Saya beri tahu kamu?
Terjemahkan ke bahasa Indonesia baku.,Sa mo tidur dulu kah?,Saya mau tidur dulu?
Terjemahkan ke bahasa Indonesia baku.,Ko tu yang kandung ka,Kamulah yang kupunya
Terjemahkan ke bahasa Indonesia baku.,Sa mo coba ulang kah?,Saya mau coba ulangi?
Terjemahkan ke bahasa Indonesia baku.,Persetan omongan dong,Lupakan omongan orang
Terjemahkan ke bahasa Indonesia baku.,Yeah nah ko pigi cari,"Ya, kamu pergi mencari"
Terjemahkan ke bahasa Indonesia baku.,Persetan omong kosong,Diam pada omong kosong
Terjemahkan ke bahasa Indonesia baku.,Coba terbuka hari ini,Cobalah jujur hari ini
Terjemahkan ke bahasa Indonesia baku.,Dari lama tong geladi,Dari lama kita bersama
Terjemahkan ke bahasa Indonesia baku.,Siapa tau ada harapan,Siapa tahu ada harapan
Terjemahkan ke bahasa Indonesia baku.,Sa pung semakin tajir,Saya semakin beruntung
Terjemahkan ke bahasa Indonesia baku.,Anjani miliki pribadi,"Anjani, milik pribadiku"
Terjemahkan ke bahasa Indonesia baku.,Sa bermain di halaman,Saya bermain di halaman
Terjemahkan ke bahasa Indonesia baku.,Sa belajar matematika,Saya belajar matematika
Terjemahkan ke bahasa Indonesia baku.,Sa membeli ikan segar,Saya membeli ikan segar
Terjemahkan ke bahasa Indonesia baku.,Sa membeli roti manis,Saya membeli roti manis
Terjemahkan ke bahasa Indonesia baku.,Sa membeli buah segar,Saya membeli buah segar
Terjemahkan ke bahasa Indonesia baku.,Tong masak mie goreng,Kami memasak mie goreng
Terjemahkan ke bahasa Indonesia baku.,Ko su bermain HP kam?,Apakah kamu bermain HP?
Terjemahkan ke bahasa Indonesia baku.,Ko su mandi pagi kam?,Apakah kamu mandi pagi?
Terjemahkan ke bahasa Indonesia baku.,kaka tra ada di rumah,Kakak tidak ada di rumah
Terjemahkan ke bahasa Indonesia baku.,Sa mau ko juga peduli,Aku mau kamu juga peduli
Terjemahkan ke bahasa Indonesia baku.,yeah nah ko pigi cari,ya sudah kamu pergi cari
Terjemahkan ke bahasa Indonesia baku.,Jang lupa telfon saya,Jangan lupa telepon saya
Terjemahkan ke bahasa Indonesia baku.,Sapa suruh ko percaya,Siapa suruh kamu percaya
Terjemahkan ke bahasa Indonesia baku.,Sa pu hati ko su klem,Hatiku sudah kamu miliki
Terjemahkan ke bahasa Indonesia baku.,Ko masih jadi kekasih,Kamu masih jadi kekasih.
Terjemahkan ke bahasa Indonesia baku.,Kam belajar IPA malam,Mereka belajar IPA malam
Terjemahkan ke bahasa Indonesia baku.,Cinta sa yang tampong,Cinta yang tetap bertahan
Terjemahkan ke bahasa Indonesia baku.,Kas tabuang rasa ragu,Jangan membuang rasa ragu
Terjemahkan ke bahasa Indonesia baku.,Sa ngobrol sama temen,Saya ngobrol dengan teman
Terjemahkan ke bahasa Indonesia baku.,Trada makanan di meja,Tidak ada makanan di meja
Terjemahkan ke bahasa Indonesia baku.,Trada telur di kulkas,Tidak ada telur di kulkas
Terjemahkan ke bahasa Indonesia baku.,Sa chatting sama tong,Saya chatting dengan kami
Terjemahkan ke bahasa Indonesia baku.,Trada sayur di lemari,Tidak ada sayur di lemari
Terjemahkan ke bahasa Indonesia baku.,Beta mau pigi pasar e,Saya mau pergi ke pasar ya
Terjemahkan ke bahasa Indonesia baku.,sa tra ada di rumah e,Saya tidak ada di rumah ya
Terjemahkan ke bahasa Indonesia baku.,Sayang sa mau ko saja,"Sayang, aku hanya mau kamu"
Terjemahkan ke bahasa Indonesia baku.,Tra balas sa pu pesan,Tidak membalas pesan saya.
Terjemahkan ke bahasa Indonesia baku.,Sa lihat film kemarin,Saya menonton film kemarin
Terjemahkan ke bahasa Indonesia baku.,Sa bicara dengan guru,Saya berbicara dengan guru
Terjemahkan ke bahasa Indonesia baku.,Sa ngobrol dengan kam,Saya ngobrol dengan mereka
Terjemahkan ke bahasa Indonesia baku.,Bila nanti kehilangan,Jika nanti harus kehilangan
Terjemahkan ke bahasa Indonesia baku.,Yeah lala lala lal...,Yeah kalau memang begitu...
Terjemahkan ke bahasa Indonesia baku.,Ko su pergi ke pasar?,Apakah kamu pergi ke pasar?
Terjemahkan ke bahasa Indonesia baku.,Ko su membeli daging?,Apakah kamu membeli daging?
Terjemahkan ke bahasa Indonesia baku.,Ko su menulis cerita?,Apakah kamu menulis cerita?
Terjemahkan ke bahasa Indonesia baku.,Dorang ke kantor sore,Mereka pergi ke kantor sore
Terjemahkan ke bahasa Indonesia baku.,Tong denger musik pop,Kami mendengarkan musik pop
Terjemahkan ke bahasa Indonesia baku.,Ko su ke pantai tong?,Apakah kamu ke pantai kami?
Terjemahkan ke bahasa Indonesia baku.,Dorang ke kantor pagi,Mereka pergi ke kantor pagi
Terjemahkan ke bahasa Indonesia baku.,Ko tra akan lupa saya,Kamu tidak akan melupakan aku
Terjemahkan ke bahasa Indonesia baku.,Ade yang itu sa kunci,Orang itu adalah kunci hatiku
Terjemahkan ke bahasa Indonesia baku.,Biar cuma dalam ilusi,Meskipun hanya dalam bayangan
Terjemahkan ke bahasa Indonesia baku.,Oh mungkin iri ka apa,Oh mungkin iri atau bagaimana
Terjemahkan ke bahasa Indonesia baku.,Dong su datang kah? e,Apakah mereka sudah datang? ya
Terjemahkan ke bahasa Indonesia baku.,Sa mau koi ko mau dia,"Aku mau kamu, tapi kamu mau dia"
Terjemahkan ke bahasa Indonesia baku.,First time tatap muka,Saat pertama kali bertatap muka
Terjemahkan ke bahasa Indonesia baku.,Su tara bisa sa belai,Aku sudah tak bisa lagi membelai
Terjemahkan ke bahasa Indonesia baku.,Sa ke mall sama teman,Saya pergi ke mall bersama teman
Terjemahkan ke bahasa Indonesia baku.,De lambai lenso merah,Dia melambaikan sapu tangan merah
Terjemahkan ke bahasa Indonesia baku.,Sa su mimpi jauh-jauh,Saya sudah bermimpi jauh dari sini
Terjemahkan ke bahasa Indonesia baku.,Sa ke pantai sama kam,Saya pergi ke pantai bersama mereka
Terjemahkan ke bahasa Indonesia baku.,Ko bawa de cukardeleng,se ko bawa de
Terjemahkan ke bahasa Indonesia baku.,Ko jaga baik-baik kah?,Jaga dengan baik?
Terjemahkan ke bahasa Indonesia baku.,"Sayang e, sio sayang e","Sayang, oh sayang."
Terjemahkan ke bahasa Indonesia baku.,Sa pung kepala sakit e,Kepala saya sakit ya
Terjemahkan ke bahasa Indonesia baku.,Iyo su mungkin minuman,"Iya, mungkin minuman"
Terjemahkan ke bahasa Indonesia baku.,Ko patahkan sa pu hati,Kamu patahkan hatiku
Terjemahkan ke bahasa Indonesia baku.,Dorang baca buku novel,Mereka membaca novel
Terjemahkan ke bahasa Indonesia baku.,Tra pikir de pu resiko,Tak pikirkan risikonya
Terjemahkan ke bahasa Indonesia baku.,Dorang selfie di taman,Mereka selfie di taman
Terjemahkan ke bahasa Indonesia baku.,Tong makan nasi goreng,Kami makan nasi goreng
Terjemahkan ke bahasa Indonesia baku.,Bagaimana sa mo peduli,Gimana saya bisa peduli
Terjemahkan ke bahasa Indonesia baku.,Walau sekadar khayalan,Meskipun hanya bayangan
Terjemahkan ke bahasa Indonesia baku.,Yang penting ko temani,Penting kamu menemaniku
Terjemahkan ke bahasa Indonesia baku.,Dan sa sadar ini bodoh,Dan aku sadar ini bodoh
Terjemahkan ke bahasa Indonesia baku.,Tetapi bukannya begitu,Tetapi bukannya begitu.
Terjemahkan ke bahasa Indonesia baku.,Baku sayang tong abadi,Saling sayang kita abadi
Terjemahkan ke bahasa Indonesia baku.,Yang penting ko berani,Yang penting kamu berani
Terjemahkan ke bahasa Indonesia baku.,Sa tinggal di Jayapura,Saya tinggal di Jayapura
Terjemahkan ke bahasa Indonesia baku.,Sa membeli daging ayam,Saya membeli daging ayam
Terjemahkan ke bahasa Indonesia baku.,Sa membaca buku cerita,Saya membaca buku cerita
Terjemahkan ke bahasa Indonesia baku.,Sa pergi ke kantor pos,Saya pergi ke kantor pos
Terjemahkan ke bahasa Indonesia baku.,Ko su tidur siang bel?,Apakah kamu tidur siang?
Terjemahkan ke bahasa Indonesia baku.,Tong masak nasi goreng,Kami memasak nasi goreng
Terjemahkan ke bahasa Indonesia baku.,Ko su belajar IPA bel?,Apakah kamu belajar IPA?
Terjemahkan ke bahasa Indonesia baku.,Ko su makan siang bel?,Apakah kamu makan siang?
Terjemahkan ke bahasa Indonesia baku.,Ko su tidur malam bel?,Apakah kamu tidur malam?
Terjemahkan ke bahasa Indonesia baku.,Ko su makan malam kam?,Apakah kamu makan malam?
Terjemahkan ke bahasa Indonesia baku.,Sa scroll media sosial,Saya scroll media sosial
Terjemahkan ke bahasa Indonesia baku.,Sa tinggal di Sorong e,Saya tinggal di Sorong ya
Terjemahkan ke bahasa Indonesia baku.,Dia tra ada di rumah e,Dia tidak ada di rumah ya
Terjemahkan ke bahasa Indonesia baku.,Sa tra akan tahantahan,Aku tidak akan tahan lagi
Terjemahkan ke bahasa Indonesia baku.,Ragu ragu marba sayang,Ragu-ragu membahas sayang
Terjemahkan ke bahasa Indonesia baku.,Hanya sa yang ko perlu,Hanya aku yang kamu butuh
Terjemahkan ke bahasa Indonesia baku.,Dorang main gitar sore,Mereka bermain gitar sore
Terjemahkan ke bahasa Indonesia baku.,Ko bilang apa barusan?,Apa yang kamu bilang tadi?
Terjemahkan ke bahasa Indonesia baku.,Yeiy cinta ni ko punya,Yeiy cinta yang kamu punya
Terjemahkan ke bahasa Indonesia baku.,Baku tambah ambil satu,"Tambahkan lagi, ambil satu"
Terjemahkan ke bahasa Indonesia baku.,Siapakah yang punya ko,Siapa yang memiliki dirimu
Terjemahkan ke bahasa Indonesia baku.,Kam latihan senam pagi,Mereka berlatih senam pagi
Terjemahkan ke bahasa Indonesia baku.,Trada listrik di dapur,Tidak ada listrik di dapur
Terjemahkan ke bahasa Indonesia baku.,Ayolah men otw ke situ,"Ayo, kita berangkat ke sana"
Terjemahkan ke bahasa Indonesia baku.,ko pu siak ko pu sk ak,kebiasaanmu aku sudah hafal
Terjemahkan ke bahasa Indonesia baku.,Sa ada ni janji Anjani,Aku ada dengan janji Anjani
Terjemahkan ke bahasa Indonesia baku.,Yang lain dong mubasir,Yang lain tidak ada artinya
Terjemahkan ke bahasa Indonesia baku.,Kam nonton film komedi,Mereka menonton film komedi
Terjemahkan ke bahasa Indonesia baku.,Semua ko buang percuma,Kamu buang semua itu sia-sia
Terjemahkan ke bahasa Indonesia baku.,Sa masih rindu ko polo,Aku masih rindu kamu kembali
Terjemahkan ke bahasa Indonesia baku.,dimana ko? sa rindu ko,di mana kamu? aku rindu kamu
Terjemahkan ke bahasa Indonesia baku.,Ko su bermain di luar?,Apakah kamu bermain di luar?
Terjemahkan ke bahasa Indonesia baku.,Ko su minum air putih?,Apakah kamu minum air putih?
Terjemahkan ke bahasa Indonesia baku.,Ko su menyapu halaman?,Apakah kamu menyapu halaman?
Terjemahkan ke bahasa Indonesia baku.,Ko su belajar menulis?,Apakah kamu belajar menulis?
Terjemahkan ke bahasa Indonesia baku.,Ko su mendengar musik?,Apakah kamu mendengar musik?
Terjemahkan ke bahasa Indonesia baku.,Ko su pergi ke kantor?,Apakah kamu pergi ke kantor?
Terjemahkan ke bahasa Indonesia baku.,Ko su mandi malam ini?,Apakah kamu mandi malam ini?
Terjemahkan ke bahasa Indonesia baku.,Ko su menonton berita?,Apakah kamu menonton berita?
Terjemahkan ke bahasa Indonesia baku.,Tong denger musik rock,Kami mendengarkan musik rock
Terjemahkan ke bahasa Indonesia baku.,Tong denger musik jazz,Kami mendengarkan musik jazz
Terjemahkan ke bahasa Indonesia baku.,Ko boleh bisa bawa dia,Kamu mungkin bisa membawa dia
Terjemahkan ke bahasa Indonesia baku.,Tong ke sekolah bareng,Kami pergi ke sekolah bersama
Terjemahkan ke bahasa Indonesia baku.,Percuma sa juang semua,Percuma aku berjuang semua ini
Terjemahkan ke bahasa Indonesia baku.,Sampe sini sa su paham,Sampai di sini aku sudah paham
Terjemahkan ke bahasa Indonesia baku.,Ko su masak malam ini?,Apakah kamu memasak malam ini?
Terjemahkan ke bahasa Indonesia baku.,Mana-mana Tuhan sayang,"Di mana pun, Tuhan tetap sayang"
Terjemahkan ke bahasa Indonesia baku.,"Itu ko bocor, ko salah","Itu membuatmu bocor, kamu salah"
Terjemahkan ke bahasa Indonesia baku.,Kam denger musik keras,Mereka mendengarkan musik keras
Terjemahkan ke bahasa Indonesia baku.,Dorang masak ikan asin,Mereka sedang memasak ikan asin
Terjemahkan ke bahasa Indonesia baku.,Sa ke pantai sama tong,Saya pergi ke pantai bersama kami
Terjemahkan ke bahasa Indonesia baku.,Kam ke hutan cari kayu,Mereka pergi ke hutan mencari kayu
Terjemahkan ke bahasa Indonesia baku.,Ada saja yang ko bikin,Selalu ada yang kamu buat (masalah)
Terjemahkan ke bahasa Indonesia baku.,Biar hujan tong jalani,Mari kita jalani meski hujan datang
Terjemahkan ke bahasa Indonesia baku.,Ko rebut juga ko dapat,"Meskipun kamu rebut, kamu tetap dapat"
Terjemahkan ke bahasa Indonesia baku.,Jadi kam sei jauh jauh,Jadi kalian jangan datang dekat-dekat
Terjemahkan ke bahasa Indonesia baku.,Ko su dimana deng sapa,Kamu sekarang di mana dan dengan siapa
Terjemahkan ke bahasa Indonesia baku.,Untuk jalan pica bunga,Khususnya jalan yang menipu ke mana pun
Terjemahkan ke bahasa Indonesia baku.,Sa fly deng anana dong,Saya pergi bersenang-senang dengan mereka
Terjemahkan ke bahasa Indonesia baku.,jaga sa pu hati bae bae,jaga hatiku baik-baik
Terjemahkan ke bahasa Indonesia baku.,Dia su makan siang kah?,Dia sudah makan siang?
Terjemahkan ke bahasa Indonesia baku.,Babingung nanti ko sial,Bingung nanti bisa sial
Terjemahkan ke bahasa Indonesia baku.,Tong tetap akan bersatu,Kita akan tetap bersama
Terjemahkan ke bahasa Indonesia baku.,Tong latihan gitar sore,Kami latihan gitar sore
Terjemahkan ke bahasa Indonesia baku.,Dorang selfie di pantai,Mereka selfie di pantai
Terjemahkan ke bahasa Indonesia baku.,jaga bae bae sa pu hati,jagalah baik-baik hatiku
Terjemahkan ke bahasa Indonesia baku.,Jadi coba pikir kembali,Jadi coba pikir kembali.
Terjemahkan ke bahasa Indonesia baku.,Sekian lama sa berjuang,Sekian lama aku berjuang
Terjemahkan ke bahasa Indonesia baku.,Tong latihan senam pagi,Kami berlatih senam pagi
Terjemahkan ke bahasa Indonesia baku.,Tong latihan senam sore,Kami berlatih senam sore
Terjemahkan ke bahasa Indonesia baku.,Ko su tidur siang tong?,Apakah kamu tidur siang?
Terjemahkan ke bahasa Indonesia baku.,Ko su makan siang tong?,Apakah kamu makan siang?
Terjemahkan ke bahasa Indonesia baku.,Ko tra usah kuatir kah?,Kamu tidak usah khawatir?
Terjemahkan ke bahasa Indonesia baku.,Coba kas kluar isi saku,Coba keluarkan isi sakumu
Terjemahkan ke bahasa Indonesia baku.,Sa berangkat ke sekolah,Saya berangkat ke sekolah
Terjemahkan ke bahasa Indonesia baku.,Sa pergi ke rumah teman,Saya pergi ke rumah teman
Terjemahkan ke bahasa Indonesia baku.,Sa belajar bahasa Papua,Saya belajar bahasa Papua
Terjemahkan ke bahasa Indonesia baku.,Sa mendengar dari teman,Saya mendengar dari teman
Terjemahkan ke bahasa Indonesia baku.,Dorang masak ikan bakar,Mereka memasak ikan bakar
Terjemahkan ke bahasa Indonesia baku.,Sa belajar IPA di rumah,Saya belajar IPA di rumah
Terjemahkan ke bahasa Indonesia baku.,Sa makan malam di dapur,Saya makan malam di dapur
Terjemahkan ke bahasa Indonesia baku.,Dorang masak ayam bakar,Mereka memasak ayam bakar
Terjemahkan ke bahasa Indonesia baku.,Sa makan siang di dapur,Saya makan siang di dapur
Terjemahkan ke bahasa Indonesia baku.,Dorang masak sayur sore,Mereka memasak sayur sore
Terjemahkan ke bahasa Indonesia baku.,Bapa tra ada di rumah e,Ayah tidak ada di rumah ya
Terjemahkan ke bahasa Indonesia baku.,Gas su jangan lama-lama,Ayo jalan jangan lama-lama
Terjemahkan ke bahasa Indonesia baku.,Skarang ko dalam bahaya,Sekarang kamu dalam bahaya
Terjemahkan ke bahasa Indonesia baku.,Berubah kini ko berbeda,Berubah kini kamu berbeda.
Terjemahkan ke bahasa Indonesia baku.,Tong main layangan pagi,Kami bermain layangan pagi
Terjemahkan ke bahasa Indonesia baku.,Dorang main gitar malam,Mereka bermain gitar malam
Terjemahkan ke bahasa Indonesia baku.,Tong main layangan sore,Kami bermain layangan sore
Terjemahkan ke bahasa Indonesia baku.,Kam bermain game online,Mereka bermain game online
Terjemahkan ke bahasa Indonesia baku.,Bila ingat akan kembali,Kalau teringat akan kembali
Terjemahkan ke bahasa Indonesia baku.,ko mo dapat juga dimana,kamu mau dapat juga di mana
Terjemahkan ke bahasa Indonesia baku.,Ai sudah yo be tra papa,"Ah sudah lah, tidak apa-apa"
Terjemahkan ke bahasa Indonesia baku.,Sa tra sekolah hari ini,Saya tidak sekolah hari ini
Terjemahkan ke bahasa Indonesia baku.,Trada listrik di kampus,Tidak ada listrik di kampus
Terjemahkan ke bahasa Indonesia baku.,Sa chatting sama dorang,Saya chatting dengan mereka
Terjemahkan ke bahasa Indonesia baku.,Sa suka deng lagu itu e,Saya suka dengan lagu itu ya
Terjemahkan ke bahasa Indonesia baku.,Ko mo dapat juga dimana,Kamu ingin dapat di mana pun
Terjemahkan ke bahasa Indonesia baku.,Saat sa tau ko deng dia,Saat aku tahu kau dengan dia
Terjemahkan ke bahasa Indonesia baku.,Cin no limit trada pagu,Cinta tanpa batas tiada akhir
Terjemahkan ke bahasa Indonesia baku.,Ikuti dan ko pun pahami,Ikuti dan kamu pun akan paham
Terjemahkan ke bahasa Indonesia baku.,Ko su belajar hari ini?,Apakah kamu belajar hari ini?
