instruction,input,output
Terjemahkan ke bahasa Indonesia baku.,Ko kenal dia?,Apakah kamu mengenalnya?
Terjemahkan ke bahasa Indonesia baku.,Ko laki kaget baru bilang hoki-hoki,Pacarmu kaget baru bilang beruntung-beruntung
Terjemahkan ke bahasa Indonesia baku.,Percuma selama ini setia (setia),Percuma selama ini aku setia
Terjemahkan ke bahasa Indonesia baku.,Jujur ko tra serius,Jujur kamu tidak serius
Terjemahkan ke bahasa Indonesia baku.,ioo sumpah pele,"iya, sungguh sayang"
Terjemahkan ke bahasa Indonesia baku.,Cakadidi,centil / genit
Terjemahkan ke bahasa Indonesia baku.,Mo bestel ato kali,Mau mencoba lagi nanti
Terjemahkan ke bahasa Indonesia baku.,Ah pleh cinta sa ada ni Anjani,"Aku rela mencintaimu sepenuh hati, Anjani"
Terjemahkan ke bahasa Indonesia baku.,Dorang ke pasar beli ikan,Mereka pergi ke pasar membeli ikan
Terjemahkan ke bahasa Indonesia baku.,Sa masih ingat ko pu senyum yang bikin,Aku masih ingat senyummu yang indah itu
Terjemahkan ke bahasa Indonesia baku.,Sa lapar skali,Saya sangat lapar
Terjemahkan ke bahasa Indonesia baku.,Sadar sudah ka dara,"Sudah sadar, nona"
Terjemahkan ke bahasa Indonesia baku.,Sa menyerah,Aku menyerah
Terjemahkan ke bahasa Indonesia baku.,Dorang su datang,Mereka sudah datang
Terjemahkan ke bahasa Indonesia baku.,Dorang ke warung kopi sore,Mereka pergi ke warung kopi sore
Terjemahkan ke bahasa Indonesia baku.,Ko su ngobrol sama dorang bel?,Apakah kamu ngobrol sama mereka?
Terjemahkan ke bahasa Indonesia baku.,Ko masih jadi kekasih,Kamu masih jadi kekasih.
Terjemahkan ke bahasa Indonesia baku.,Sa tra ke Bong,Saya tidak pergi ke sana
